market_id,signal_type,total_bet_usd,net_pnl_usd,vwap_entry_price,avg_P_model,avg_live_edge,avg_TTR_minutes,distance_to_strike_bps,is_coinflip,target_win
0x621b9cb82bc7ff45ed37ad6275b62da004d4f8ba3bb2d9c09f274516c5fd6411,BUY_NO,83.92,134.8093353431579,0.38,0.4777933973399529,0.1188324423705233,3.86932965,-0.33418575430806596,True,1
0x65b3ea48f2fb610350e0d0160259f21fff156d5ec3b18973aa77d892cc473c8b,BUY_NO,3.37,1.8112083146153848,0.65,0.1585449909055614,0.1680775646144385,3.862079583333333,-9.009900745984774,False,1
0x65bb447ac5bcd04decc653adb6c20c8e2cb6e4f56602e03b27d9df4aa7ab76c9,BUY_NO,1.05,-1.05033075,0.38,0.5572634452514801,0.0393900414989961,3.9298684166666655,1.1359636082354543,True,0
0x663175cc36d042825de0e99127eb30d60a97b8c66be9ac90dba05e4313b7cf96,BUY_NO,57.22,18.09109481333334,0.75,0.1639289784938423,0.0627069533461577,3.891287966666667,-5.971334328958677,False,1
0x6645bf365676fd8b7651bb315c708d52ee7ed92765a1afde7ffaf5f57e666f59,BUY_NO,549.28,472.81160784313727,0.51,0.2549196948248149,0.2117096493275659,3.8769458,-4.018205715811947,False,1
0x67ab9ea1092624d8c5b9ae94e73da951ad298533cf02e873c9783c9a291052cc,BUY_NO,13.45,29.882826024193545,0.30999999999999994,0.4597479483243251,0.2068674888413891,3.8464685666666663,-0.637879587431509,True,1
0x67dec62b55cff0f9fed99909a02fead60085954128d199092c04cf37b6c164c1,BUY_NO,345.48,128.03082352941175,0.68,0.215149694256241,0.0814839823380446,3.886705916666666,-4.846435191215835,False,1
0x682c8ef83b97be6c3eeb6997a6fdd7aff1e32e66d963d835d0348b235d4c65c9,BUY_NO,1.95,-1.95114075,0.29000000000000004,0.5623712277537718,0.1242938652671806,3.9551640166666666,1.6711365594722212,True,0
0x69b49582f51cecd250c15468f9b615cdc676d30064a04537289959423a548387,BUY_NO,1.0,-1.0003,0.13,0.7761574614087621,0.0704821218979045,3.8997572666666662,6.469337648720835,False,0
0x6a842e718efc4b854b3619e6fb63d3bdcbaf9b5d3ccb3d51d71ffb050817468e,BUY_NO,188.85,90.98916478846155,0.65,0.1947427493263763,0.1318795878088617,3.8616550166666666,-5.0346238746827225,False,1
0x6aab80884f5247fd5b3b8dd1e9b4e6aee3abfcc8246c04f984d9f851a0c835d7,BUY_NO,51.33,57.09233528744681,0.4699999999999999,0.4058076763650079,0.1008280884502301,3.89113365,-1.6576127379691505,True,1
